route,member_casual,road_distance_km,route_frequency
"41.8695,-87.6555,41.8722,-87.6614",member,1.075,469
"41.8695,-87.6555,41.8748,-87.6498",member,1.478,255
"41.87,-87.62,41.89,-87.61",casual,3.4,139
"41.87,-87.65,41.8718,-87.6466",member,1.362,231
"41.87,-87.65,41.8722,-87.6614",member,1.616,329
"41.87,-87.66,41.8717,-87.651",member,1.068,287
"41.8708,-87.6257,41.8672,-87.626",member,0.492,279
"41.8708,-87.6257,41.8728,-87.624",casual,0.402,102
"41.8713,-87.6737,41.8715,-87.6699",member,0.339,289
"41.8713,-87.6737,41.8717,-87.651",member,2.952,234
"41.8713,-87.6737,41.8722,-87.6614",member,1.555,797
"41.8713,-87.6737,41.8746,-87.657",member,1.889,214
"41.8715,-87.6699,41.8713,-87.6737",member,0.822,209
"41.8715,-87.6699,41.8722,-87.6614",member,1.212,308
"41.8717,-87.651,41.8649,-87.6471",member,1.517,333
"41.8717,-87.651,41.8673,-87.6486",member,1.357,526
"41.8717,-87.651,41.869,-87.6591",member,1.325,359
"41.8717,-87.651,41.8695,-87.6555",member,0.977,710
"41.8717,-87.651,41.8718,-87.6466",member,1.263,351
"41.8717,-87.651,41.8722,-87.6614",casual,2.052,160
"41.8717,-87.651,41.8722,-87.6614",member,2.052,1815
"41.8717,-87.651,41.8746,-87.657",member,2.299,313
"41.8717,-87.651,41.8748,-87.6498",member,1.738,388
"41.8717,-87.651,41.8776,-87.6496",member,2.074,234
"41.8717,-87.651,41.8777,-87.6548",member,2.198,318
"41.8717,-87.651,41.8783,-87.641",member,2.529,245
"41.8718,-87.6466,41.8649,-87.6471",casual,0.978,168
"41.8718,-87.6466,41.8649,-87.6471",member,0.978,948
"41.8718,-87.6466,41.8673,-87.6486",member,0.823,213
"41.8718,-87.6466,41.869,-87.6591",member,1.462,563
"41.8718,-87.6466,41.8695,-87.6555",member,1.114,1005
"41.8718,-87.6466,41.8717,-87.651",member,0.991,349
"41.8718,-87.6466,41.8722,-87.6614",member,1.89,1381
"41.8718,-87.6466,41.8746,-87.657",member,1.698,273
"41.8718,-87.6466,41.8748,-87.6498",member,0.633,262
"41.8718,-87.6466,41.8777,-87.6548",member,1.779,238
"41.8718,-87.6466,41.8781,-87.6439",member,1.576,221
"41.8718,-87.6466,41.8783,-87.641",casual,1.424,100
"41.8718,-87.6466,41.8783,-87.641",member,1.424,344
"41.8718,-87.6466,41.8803,-87.6427",member,1.44,233
"41.8718,-87.6466,41.8828,-87.6412",member,1.907,411
"41.872,-87.651,41.8722,-87.6614",member,2.019,449
"41.8721,-87.6295,41.8604,-87.6258",member,1.842,343
"41.8721,-87.6295,41.8672,-87.626",casual,1.058,132
"41.8721,-87.6295,41.8672,-87.626",member,1.058,467
"41.8721,-87.6295,41.8679,-87.623",member,1.372,213
"41.8721,-87.6295,41.8728,-87.624",member,0.604,227
"41.8721,-87.6295,41.8772,-87.6394",member,1.384,213
"41.8721,-87.6295,41.8777,-87.6353",member,1.08,217
"41.8721,-87.6295,41.8794,-87.6298",member,0.863,309
"41.8721,-87.6295,41.8842,-87.6296",casual,1.356,129
"41.8721,-87.6295,41.8842,-87.6296",member,1.356,310
"41.8722,-87.6613,41.8717,-87.651",member,1.398,280
"41.8722,-87.6614,41.8649,-87.6471",member,2.041,297
"41.8722,-87.6614,41.8652,-87.6665",member,1.432,311
"41.8722,-87.6614,41.8673,-87.6486",member,2.389,492
"41.8722,-87.6614,41.8695,-87.6555",member,0.781,550
"41.8722,-87.6614,41.8713,-87.6737",member,1.806,922
"41.8722,-87.6614,41.8715,-87.6699",member,1.23,284
"41.8722,-87.6614,41.8717,-87.651",casual,1.398,182
"41.8722,-87.6614,41.8717,-87.651",member,1.398,2421
"41.8722,-87.6614,41.8718,-87.6466",casual,1.774,125
"41.8722,-87.6614,41.8718,-87.6466",member,1.774,1392
"41.8722,-87.6614,41.8746,-87.657",member,0.856,454
"41.8722,-87.6614,41.8748,-87.6498",member,1.358,404
"41.8722,-87.6614,41.8776,-87.6496",member,1.704,259
"41.8722,-87.6614,41.8777,-87.6548",member,1.235,478
"41.8727,-87.6335,41.875,-87.6331",member,0.309,216
"41.8727,-87.6335,41.8777,-87.6353",member,0.673,217
"41.8727,-87.6335,41.8803,-87.6352",member,0.962,231
"41.8728,-87.624,41.8514,-87.6188",casual,2.847,155
"41.8728,-87.624,41.8653,-87.6179",casual,1.503,123
"41.8728,-87.624,41.8661,-87.6073",casual,2.396,175
"41.8728,-87.624,41.8672,-87.6154",casual,1.979,238
"41.8728,-87.624,41.8679,-87.623",casual,0.894,222
"41.8728,-87.624,41.8679,-87.623",member,0.894,522
"41.8728,-87.624,41.878,-87.6241",casual,0.578,162
"41.8728,-87.624,41.878,-87.6241",member,0.578,285
"41.8728,-87.624,41.881,-87.6167",casual,1.524,222
"41.8728,-87.624,41.881,-87.6241",casual,0.913,549
"41.8728,-87.624,41.881,-87.6241",member,0.913,262
"41.8728,-87.624,41.884,-87.6247",casual,1.373,124
"41.8728,-87.624,41.886,-87.6244",casual,1.469,221
"41.8728,-87.624,41.887,-87.6128",casual,2.593,144
"41.8728,-87.624,41.8923,-87.612",casual,3.016,532
"41.8728,-87.624,41.901,-87.6238",casual,4.353,123
"41.8731,-87.6691,41.8776,-87.6496",member,2.102,273
"41.8741,-87.6277,41.8783,-87.641",member,2.22,223
"41.8743,-87.6396,41.8703,-87.6395",member,0.741,230
"41.8743,-87.6396,41.8828,-87.6412",member,1.378,213
"41.8746,-87.657,41.8717,-87.651",member,1.301,342
"41.8746,-87.657,41.8718,-87.6466",member,1.159,356
"41.8746,-87.657,41.8722,-87.6614",member,0.696,312
"41.8746,-87.657,41.8748,-87.6498",member,0.742,285
"41.8746,-87.657,41.8777,-87.6548",member,0.632,253
"41.8746,-87.657,41.8828,-87.6412",member,2.37,245
"41.8748,-87.6498,41.8649,-87.6471",casual,1.633,165
"41.8748,-87.6498,41.8649,-87.6471",member,1.633,339
"41.8748,-87.6498,41.8673,-87.6486",casual,1.478,102
"41.8748,-87.6498,41.8673,-87.6486",member,1.478,251
"41.8748,-87.6498,41.8695,-87.6555",member,1.239,302
"41.8748,-87.6498,41.8717,-87.651",member,1.646,291
"41.8748,-87.6498,41.8718,-87.6466",member,0.863,243
"41.8748,-87.6498,41.8722,-87.6614",member,1.251,453
"41.8748,-87.6498,41.8746,-87.657",member,1.241,264
"41.8748,-87.6498,41.8776,-87.6496",member,0.702,302
"41.8748,-87.6498,41.8777,-87.6548",member,1.14,255
"41.8748,-87.6498,41.8783,-87.641",casual,1.56,149
"41.8748,-87.6498,41.8783,-87.641",member,1.56,364
"41.8748,-87.6498,41.8828,-87.6412",casual,2.031,112
"41.875,-87.6331,41.8828,-87.6412",member,1.869,250
"41.875,-87.6331,41.8882,-87.6364",member,1.665,381
"41.8759,-87.6306,41.8679,-87.623",member,1.688,298
"41.8759,-87.6306,41.894,-87.6293",member,2.253,229
"41.8759,-87.6408,41.8828,-87.6412",member,1.124,439
"41.8762,-87.6244,41.8672,-87.6154",casual,2.263,124
"41.8762,-87.6244,41.8679,-87.623",member,1.178,222
"41.8762,-87.6244,41.881,-87.6241",casual,0.665,136
"41.8762,-87.6244,41.8923,-87.612",casual,2.768,219
"41.8767,-87.6205,41.8672,-87.6154",casual,2.009,183
"41.8767,-87.6205,41.881,-87.6167",casual,0.8,103
"41.8767,-87.6205,41.881,-87.6241",casual,0.779,127
"41.8767,-87.6205,41.8923,-87.612",casual,2.292,219
"41.8776,-87.6496,41.8722,-87.6614",member,1.636,260
"41.8776,-87.6496,41.8731,-87.6691",member,2.096,279
"41.8776,-87.6496,41.8748,-87.6498",member,0.777,287
"41.8776,-87.6496,41.8777,-87.6548",member,1.115,412
"41.8776,-87.6496,41.8819,-87.6493",member,0.495,258
"41.8776,-87.6496,41.8828,-87.6412",member,1.329,309
"41.8776,-87.6496,41.8892,-87.6385",member,2.185,221
"41.8777,-87.6353,41.881,-87.6241",casual,1.259,156
"41.8777,-87.6353,41.8824,-87.6398",member,0.892,262
"41.8777,-87.6353,41.884,-87.6247",member,1.744,210
"41.8777,-87.6353,41.8923,-87.612",casual,3.363,100
"41.8777,-87.6548,41.8695,-87.6555",member,1.267,221
"41.8777,-87.6548,41.8717,-87.651",member,2.138,352
"41.8777,-87.6548,41.8722,-87.6614",member,1.274,542
"41.8777,-87.6548,41.8748,-87.6498",member,1.25,204
"41.8777,-87.6548,41.8776,-87.6496",member,0.469,547
"41.8777,-87.6548,41.8783,-87.641",member,1.258,414
"41.8777,-87.6548,41.8819,-87.6493",member,0.893,210
"41.8779,-87.662,41.8722,-87.6614",member,0.67,226
"41.8779,-87.662,41.8777,-87.6548",member,0.607,218
"41.8779,-87.662,41.8828,-87.6412",member,2.335,316
"41.878,-87.6241,41.8672,-87.6154",casual,2.515,147
"41.878,-87.6241,41.8679,-87.623",casual,1.726,137
"41.878,-87.6241,41.8679,-87.623",member,1.726,437
"41.878,-87.6241,41.8923,-87.612",casual,2.438,134
"41.8781,-87.6439,41.8828,-87.6412",member,0.874,250
"41.8781,-87.6439,41.8856,-87.6418",member,1.072,226
"41.8782,-87.6319,41.8824,-87.6398",member,1.547,296
"41.8782,-87.6319,41.8834,-87.6412",member,2.054,363
"41.8782,-87.6319,41.894,-87.6293",member,2.01,396
"41.8783,-87.641,41.8717,-87.651",member,2.428,227
"41.8783,-87.641,41.8828,-87.6412",member,1.179,311
"41.8783,-87.641,41.8834,-87.6412",member,1.673,261
"41.8783,-87.641,41.8856,-87.6418",casual,1.376,135
"41.8783,-87.641,41.8856,-87.6418",member,1.376,495
"41.8783,-87.641,41.8858,-87.651",member,2.018,556
"41.8793,-87.6399,41.8721,-87.6295",member,1.738,235
"41.8793,-87.6399,41.8978,-87.6429",member,3.061,236
"41.8794,-87.6298,41.8721,-87.6295",member,0.972,247
"41.8794,-87.6355,41.8803,-87.6352",member,0.645,222
"41.8795,-87.6257,41.8672,-87.626",member,1.405,245
"41.8795,-87.6257,41.8793,-87.6399",member,1.176,284
"41.8795,-87.6257,41.8824,-87.6398",member,1.497,299
"41.88,-87.62,41.881,-87.6167",casual,0.427,159
"41.88,-87.62,41.881,-87.6241",casual,0.406,133
"41.88,-87.62,41.89,-87.61",casual,2.281,284
"41.88,-87.62,41.89,-87.63",casual,1.925,132
"41.88,-87.62,41.8923,-87.612",casual,1.919,124
"41.88,-87.63,41.8813,-87.6295",member,0.19,232
"41.88,-87.63,41.8824,-87.6398",member,1.18,414
"41.88,-87.63,41.8842,-87.6296",member,0.513,204
"41.88,-87.63,41.8846,-87.6319",member,0.746,205
"41.88,-87.63,41.89,-87.62",casual,1.86,160
"41.88,-87.63,41.89,-87.62",member,1.86,238
"41.88,-87.64,41.89,-87.63",casual,2.038,168
"41.88,-87.64,41.89,-87.63",member,2.038,221
"41.8803,-87.6352,41.8794,-87.6355",member,0.448,378
"41.8803,-87.6427,41.8718,-87.6466",member,1.714,215
"41.8804,-87.6555,41.8803,-87.6427",member,1.603,240
"41.8809,-87.6168,41.881,-87.6167",casual,0.008,120
"41.881,-87.6167,41.8574,-87.6138",casual,7.285,352
"41.881,-87.6167,41.8574,-87.6138",member,7.285,220
"41.881,-87.6167,41.8576,-87.6194",casual,3.239,105
"41.881,-87.6167,41.8653,-87.6179",casual,2.235,356
"41.881,-87.6167,41.8661,-87.6073",casual,3.128,802
"41.881,-87.6167,41.8661,-87.6073",member,3.128,210
"41.881,-87.6167,41.8672,-87.6154",casual,2.711,1374
"41.881,-87.6167,41.8679,-87.623",casual,1.922,411
"41.881,-87.6167,41.8679,-87.623",member,1.922,386
"41.881,-87.6167,41.8728,-87.624",casual,2.602,212
"41.881,-87.6167,41.884,-87.6247",casual,1.111,128
"41.881,-87.6167,41.886,-87.6244",casual,1.193,149
"41.881,-87.6167,41.8869,-87.626",casual,1.44,131
"41.881,-87.6167,41.887,-87.6128",casual,1.018,1224
"41.881,-87.6167,41.887,-87.6128",member,1.018,306
"41.881,-87.6167,41.8908,-87.6186",casual,1.985,201
"41.881,-87.6167,41.8915,-87.6268",casual,2.077,133
"41.881,-87.6167,41.8918,-87.6206",casual,2.29,157
"41.881,-87.6167,41.8923,-87.612",casual,1.578,3974
"41.881,-87.6167,41.8923,-87.612",member,1.578,415
"41.881,-87.6167,41.8926,-87.6173",casual,2.175,271
"41.881,-87.6167,41.901,-87.6238",casual,2.915,715
"41.881,-87.6167,41.901,-87.6238",member,2.915,222
"41.881,-87.6167,41.9117,-87.6268",casual,4.402,660
"41.881,-87.6167,41.9117,-87.6268",member,4.402,228
"41.881,-87.6167,41.9263,-87.6308",casual,5.657,466
"41.881,-87.6167,41.9263,-87.6308",member,5.657,249
"41.881,-87.6167,41.9408,-87.6392",casual,7.73,106
"41.881,-87.6168,41.8672,-87.6154",casual,2.711,117
"41.881,-87.6168,41.887,-87.6128",casual,1.018,113
"41.881,-87.6168,41.89,-87.61",casual,1.94,129
"41.881,-87.6168,41.8923,-87.612",casual,1.578,300
"41.881,-87.6241,41.8514,-87.6188",casual,4.767,123
"41.881,-87.6241,41.8574,-87.6138",casual,8.571,103
"41.881,-87.6241,41.8641,-87.6237",casual,3.202,106
"41.881,-87.6241,41.8653,-87.6179",casual,3.064,207
"41.881,-87.6241,41.8661,-87.6073",casual,3.957,350
"41.881,-87.6241,41.8672,-87.6154",casual,3.54,552
"41.881,-87.6241,41.8679,-87.623",casual,2.751,319
"41.881,-87.6241,41.8679,-87.623",member,2.751,420
"41.881,-87.6241,41.8683,-87.624",casual,2.931,101
"41.881,-87.6241,41.8728,-87.624",casual,1.674,288
"41.881,-87.6241,41.8777,-87.6353",casual,1.7,102
"41.881,-87.6241,41.884,-87.6247",casual,0.46,189
"41.881,-87.6241,41.8847,-87.6195",casual,1.143,114
"41.881,-87.6241,41.886,-87.6244",casual,0.556,247
"41.881,-87.6241,41.8869,-87.626",casual,0.771,140
"41.881,-87.6241,41.887,-87.6128",casual,1.704,239
"41.881,-87.6241,41.8906,-87.6221",casual,1.675,165
"41.881,-87.6241,41.8908,-87.6186",casual,1.995,149
"41.881,-87.6241,41.8908,-87.6317",casual,1.823,104
"41.881,-87.6241,41.8915,-87.6268",casual,1.792,193
"41.881,-87.6241,41.8918,-87.6206",casual,1.565,119
"41.881,-87.6241,41.8923,-87.612",casual,2.251,1243
"41.881,-87.6241,41.8926,-87.6173",casual,1.852,106
"41.881,-87.6241,41.8943,-87.6228",casual,1.597,176
"41.881,-87.6241,41.8977,-87.6235",casual,1.896,121
"41.881,-87.6241,41.901,-87.6238",casual,2.233,287
"41.881,-87.6241,41.9117,-87.6268",casual,5.075,248
"41.881,-87.6241,41.9263,-87.6308",casual,6.329,149
"41.8811,-87.6168,41.881,-87.6167",casual,0.011,319
"41.8811,-87.6168,41.89,-87.61",casual,1.954,103
"41.8811,-87.6168,41.8923,-87.612",casual,1.592,167
"41.8811,-87.6241,41.8923,-87.612",casual,2.24,101
"41.8812,-87.6168,41.881,-87.6167",casual,0.022,197
"41.8813,-87.6295,41.8641,-87.6237",member,2.756,221
"41.8813,-87.6295,41.8842,-87.6296",member,0.316,240
"41.8819,-87.6493,41.8777,-87.6548",member,1.258,212
"41.8819,-87.6493,41.8892,-87.6385",casual,1.717,128
"41.8819,-87.6493,41.8892,-87.6385",member,1.717,318
"41.8821,-87.6251,41.8923,-87.612",casual,2.511,162
"41.8824,-87.6398,41.8795,-87.6257",member,1.865,329
"41.8824,-87.6398,41.884,-87.6247",member,1.585,472
"41.8828,-87.6412,41.8718,-87.6466",member,1.769,258
"41.8828,-87.6412,41.8746,-87.657",member,2.207,244
"41.8828,-87.6412,41.8759,-87.6408",member,0.954,237
"41.8828,-87.6412,41.8779,-87.662",member,2.231,212
"41.8828,-87.6412,41.8782,-87.6319",member,1.299,206
"41.8828,-87.6412,41.8783,-87.641",member,0.501,291
"41.8828,-87.6412,41.8824,-87.6398",member,0.581,350
"41.8828,-87.6412,41.8843,-87.6589",member,2.123,208
"41.8828,-87.6412,41.8887,-87.6444",member,1.106,413
"41.8828,-87.6412,41.8892,-87.6385",member,1.386,283
"41.8828,-87.6412,41.8947,-87.6344",member,3.726,238
"41.8828,-87.6612,41.8834,-87.6412",member,2.194,212
"41.8831,-87.6372,41.884,-87.6247",member,1.285,268
"41.8834,-87.6412,41.8776,-87.6496",member,1.335,209
"41.8834,-87.6412,41.8782,-87.6319",member,1.365,324
"41.8834,-87.6412,41.8783,-87.641",member,0.568,270
"41.8834,-87.6412,41.884,-87.6247",member,1.641,433
"41.8834,-87.6412,41.8855,-87.6523",member,1.455,234
"41.8834,-87.6412,41.8856,-87.6418",member,0.586,318
"41.8834,-87.6412,41.8858,-87.651",member,1.425,252
"41.8834,-87.6412,41.8887,-87.6444",member,1.117,210
"41.8834,-87.6412,41.8892,-87.6385",member,0.918,489
"41.8834,-87.6412,41.8894,-87.6271",member,1.874,391
"41.8834,-87.6412,41.8902,-87.6262",member,2.797,391
"41.8834,-87.6412,41.891,-87.6355",member,1.376,205
"41.884,-87.6247,41.8672,-87.6154",casual,3.127,170
"41.884,-87.6247,41.8679,-87.623",casual,2.338,119
"41.884,-87.6247,41.8728,-87.624",casual,1.465,115
"41.884,-87.6247,41.8762,-87.6244",casual,0.868,106
"41.884,-87.6247,41.8793,-87.6399",member,1.778,208
"41.884,-87.6247,41.881,-87.6167",casual,0.999,119
"41.884,-87.6247,41.881,-87.6241",casual,0.392,219
"41.884,-87.6247,41.8824,-87.6398",casual,1.529,149
"41.884,-87.6247,41.8824,-87.6398",member,1.529,289
"41.884,-87.6247,41.8828,-87.6612",member,5.506,222
"41.884,-87.6247,41.8834,-87.6412",member,1.993,453
"41.884,-87.6247,41.8915,-87.6268",casual,2.419,101
"41.884,-87.6247,41.8923,-87.612",casual,2.491,424
"41.8841,-87.6543,41.8843,-87.6589",member,0.659,245
"41.8841,-87.6569,41.8828,-87.6412",member,1.446,242
"41.8842,-87.6296,41.8721,-87.6295",member,1.609,276
"41.8842,-87.6296,41.8793,-87.6399",member,1.473,221
"41.8842,-87.6296,41.899,-87.6299",member,1.646,212
"41.8843,-87.6589,41.8828,-87.6412",member,2.213,336
"41.8843,-87.6589,41.8841,-87.6543",member,0.96,251
"41.8845,-87.6963,41.9004,-87.6967",casual,2.636,102
"41.8846,-87.6278,41.8923,-87.612",casual,2.112,105
"41.8847,-87.6195,41.8672,-87.6154",casual,3.749,183
"41.8847,-87.6195,41.8782,-87.6319",member,1.802,312
"41.8847,-87.6195,41.8793,-87.6399",member,2.259,235
"41.8847,-87.6195,41.881,-87.6167",casual,1.898,151
"41.8847,-87.6195,41.881,-87.6241",casual,0.865,119
"41.8847,-87.6195,41.8813,-87.6295",member,1.593,250
"41.8847,-87.6195,41.8819,-87.6493",member,2.743,255
"41.8847,-87.6195,41.8834,-87.6412",member,2.589,258
"41.8847,-87.6195,41.8846,-87.6278",casual,0.707,116
"41.8847,-87.6195,41.8846,-87.6278",member,0.707,484
"41.8847,-87.6195,41.887,-87.6128",casual,1.913,119
"41.8847,-87.6195,41.8923,-87.612",casual,1.735,333
"41.8847,-87.6195,41.901,-87.6238",casual,2.246,102
"41.8847,-87.6195,41.9117,-87.6268",casual,4.509,112
"41.8855,-87.6523,41.8783,-87.641",member,1.789,220
"41.8855,-87.6523,41.8834,-87.6412",member,1.167,361
"41.8856,-87.6418,41.8783,-87.641",casual,0.865,157
"41.8856,-87.6418,41.8783,-87.641",member,0.865,305
"41.8856,-87.6418,41.8793,-87.6399",member,1.352,206
"41.8856,-87.6418,41.8828,-87.6412",member,0.364,227
"41.8856,-87.6418,41.8834,-87.6412",member,0.297,229
"41.8856,-87.6418,41.8858,-87.651",member,0.779,243
"41.8856,-87.6418,41.8892,-87.6385",member,0.653,391
"41.8858,-87.651,41.8783,-87.641",member,1.699,462
"41.8858,-87.651,41.8793,-87.6399",member,2.178,292
"41.8859,-87.6672,41.8899,-87.6715",casual,0.778,103
"41.8859,-87.6672,41.8899,-87.6715",member,0.778,288
"41.8859,-87.6672,41.8924,-87.6769",casual,1.529,117
"41.8859,-87.6672,41.8956,-87.6721",member,1.471,283
"41.8859,-87.6672,41.896,-87.6677",casual,1.551,133
"41.886,-87.6244,41.8672,-87.6154",casual,3.536,166
"41.886,-87.6244,41.8728,-87.624",casual,3.427,123
"41.886,-87.6244,41.8793,-87.6399",member,2.738,384
"41.886,-87.6244,41.881,-87.6241",casual,1.358,172
"41.886,-87.6244,41.8834,-87.6412",member,2.387,249
"41.886,-87.6244,41.8847,-87.6195",member,1.15,473
"41.886,-87.6244,41.8906,-87.6221",casual,1.118,103
"41.886,-87.6244,41.8915,-87.6268",casual,1.235,103
"41.886,-87.6244,41.8923,-87.612",casual,1.798,226
"41.886,-87.6244,41.8943,-87.6228",casual,1.041,118
"41.886,-87.6244,41.901,-87.6238",casual,1.676,113
"41.886,-87.6309,41.8813,-87.6295",member,0.777,247
"41.886,-87.6309,41.8834,-87.6412",member,1.139,264
"41.886,-87.6309,41.8943,-87.6228",member,1.561,206
"41.8863,-87.6175,41.8672,-87.6154",casual,4.401,117
"41.8863,-87.6175,41.8847,-87.6195",casual,0.652,123
"41.8863,-87.6175,41.887,-87.6128",casual,2.565,101
"41.8863,-87.6175,41.8923,-87.612",casual,2.387,191
"41.8863,-87.6175,41.9117,-87.6268",casual,5.161,140
"41.8869,-87.6128,41.881,-87.6167",casual,2.122,106
"41.8869,-87.6128,41.89,-87.61",casual,1.168,132
"41.8869,-87.6128,41.8923,-87.612",casual,0.806,178
"41.8869,-87.626,41.8793,-87.6399",member,2.769,230
"41.8869,-87.626,41.881,-87.6241",casual,1.389,108
"41.8869,-87.626,41.8923,-87.612",casual,1.829,175
"41.887,-87.6128,41.8574,-87.6138",casual,9.274,125
"41.887,-87.6128,41.8653,-87.6179",casual,3.426,161
"41.887,-87.6128,41.8661,-87.6073",casual,4.319,283
"41.887,-87.6128,41.8672,-87.6154",casual,3.902,492
"41.887,-87.6128,41.8679,-87.623",casual,3.113,241
"41.887,-87.6128,41.8728,-87.624",casual,3.793,170
"41.887,-87.6128,41.881,-87.6167",casual,2.114,924
"41.887,-87.6128,41.881,-87.6167",member,2.114,238
"41.887,-87.6128,41.881,-87.6241",casual,1.724,427
"41.887,-87.6128,41.8869,-87.626",casual,1.219,121
"41.887,-87.6128,41.8923,-87.612",casual,0.798,1828
"41.887,-87.6128,41.8923,-87.612",member,0.798,314
"41.887,-87.6128,41.8926,-87.6173",casual,0.997,115
"41.887,-87.6128,41.901,-87.6238",casual,2.085,358
"41.887,-87.6128,41.9117,-87.6268",casual,3.572,483
"41.887,-87.6128,41.9263,-87.6308",casual,4.826,349
"41.887,-87.6128,41.9408,-87.6392",casual,6.9,110
"41.8882,-87.6364,41.8938,-87.6417",member,0.945,249
"41.8887,-87.6444,41.8828,-87.6412",member,0.899,387
"41.8887,-87.6444,41.8834,-87.6412",member,0.833,256
"41.8887,-87.6444,41.8892,-87.6385",casual,0.52,157
"41.8887,-87.6444,41.8892,-87.6385",member,0.52,681
"41.8887,-87.6444,41.8899,-87.6343",casual,0.967,123
"41.8887,-87.6444,41.8899,-87.6343",member,0.967,244
"41.8887,-87.6444,41.891,-87.6355",member,1.075,218
"41.8887,-87.6444,41.8916,-87.6484",member,0.477,275
"41.8887,-87.6444,41.8938,-87.6417",member,0.976,323
"41.8887,-87.6444,41.8947,-87.6344",member,1.515,213
"41.8892,-87.6385,41.8783,-87.641",casual,1.434,102
"41.8892,-87.6385,41.8783,-87.641",member,1.434,225
"41.8892,-87.6385,41.8817,-87.6395",member,1.435,275
"41.8892,-87.6385,41.8819,-87.6493",casual,1.678,101
"41.8892,-87.6385,41.8819,-87.6493",member,1.678,302
"41.8892,-87.6385,41.8828,-87.6412",member,0.934,398
"41.8892,-87.6385,41.8834,-87.6412",member,0.867,934
"41.8892,-87.6385,41.8856,-87.6418",member,0.652,397
"41.8892,-87.6385,41.8869,-87.6481",casual,1.046,147
"41.8892,-87.6385,41.8869,-87.6481",member,1.046,222
"41.8892,-87.6385,41.8887,-87.6444",casual,0.52,161
"41.8892,-87.6385,41.8887,-87.6444",member,0.52,663
"41.8892,-87.6385,41.8894,-87.6271",member,0.938,252
"41.8892,-87.6385,41.8899,-87.6343",member,0.435,255
"41.8892,-87.6385,41.891,-87.6355",member,0.446,292
"41.8892,-87.6385,41.8916,-87.6484",member,0.919,280
"41.8892,-87.6385,41.8926,-87.6173",member,2.032,213
"41.8892,-87.6385,41.8938,-87.6417",member,0.913,870
"41.8892,-87.6385,41.894,-87.6293",member,1.304,235
"41.8892,-87.6385,41.8946,-87.6534",member,1.489,244
"41.8892,-87.6385,41.8947,-87.6344",member,1.051,309
"41.8892,-87.6385,41.8947,-87.6384",member,0.893,273
"41.8892,-87.6385,41.8966,-87.6286",member,1.659,324
"41.8892,-87.6385,41.8978,-87.6429",casual,1.612,103
"41.8892,-87.6385,41.8978,-87.6429",member,1.612,442
"41.8892,-87.6385,41.899,-87.6299",member,1.82,220
"41.8892,-87.6385,41.9032,-87.6343",casual,1.965,122
"41.8892,-87.6385,41.9032,-87.6343",member,1.965,326
"41.8894,-87.6271,41.8834,-87.6412",member,2.188,416
"41.8894,-87.6271,41.8892,-87.6385",member,0.938,243
"41.8894,-87.6271,41.8902,-87.6262",member,0.315,262
"41.8894,-87.6271,41.8923,-87.612",casual,1.516,132
"41.8899,-87.6343,41.8828,-87.6412",member,1.381,224
"41.8899,-87.6343,41.8834,-87.6412",member,1.314,209
"41.8899,-87.6343,41.8892,-87.6385",member,0.435,302
"41.8899,-87.6343,41.8938,-87.6417",member,0.883,261
"41.8899,-87.6343,41.8947,-87.6344",member,0.836,204
"41.8899,-87.6343,41.903,-87.6313",member,1.712,267
"41.89,-87.61,41.87,-87.62",casual,3.168,146
"41.89,-87.61,41.88,-87.62",casual,2.062,362
"41.89,-87.61,41.881,-87.6167",casual,1.755,217
"41.89,-87.61,41.881,-87.6241",casual,2.265,189
"41.89,-87.61,41.887,-87.6128",casual,2.687,104
"41.89,-87.61,41.8923,-87.612",casual,0.147,281
"41.89,-87.61,41.9,-87.62",casual,1.393,274
"41.89,-87.61,41.901,-87.6238",casual,1.807,114
"41.89,-87.61,41.91,-87.63",casual,3.939,120
"41.89,-87.62,41.88,-87.63",casual,2.584,178
"41.89,-87.62,41.88,-87.63",member,2.584,228
"41.89,-87.62,41.88,-87.64",casual,3.167,109
"41.89,-87.62,41.8834,-87.6412",member,2.685,218
"41.89,-87.62,41.9,-87.63",casual,1.911,143
"41.89,-87.62,41.9,-87.63",member,1.911,279
"41.89,-87.63,41.88,-87.64",casual,2.085,182
"41.89,-87.63,41.88,-87.64",member,2.085,230
"41.89,-87.63,41.8915,-87.6268",member,0.654,211
"41.89,-87.63,41.9,-87.62",casual,2.212,108
"41.89,-87.65,41.8793,-87.6399",member,2.491,236
"41.8902,-87.6262,41.8834,-87.6412",member,2.172,441
"41.8902,-87.6262,41.8923,-87.612",casual,1.45,136
"41.8906,-87.6221,41.886,-87.6309",member,1.32,214
"41.8906,-87.6221,41.8923,-87.612",casual,1.085,389
"41.8908,-87.6186,41.8672,-87.6154",casual,4.393,143
"41.8908,-87.6186,41.881,-87.6167",casual,1.706,164
"41.8908,-87.6186,41.881,-87.6241",casual,2.215,162
"41.8908,-87.6186,41.886,-87.6244",casual,1.994,114
"41.8908,-87.6186,41.8894,-87.6271",member,0.905,305
"41.8908,-87.6186,41.8915,-87.6268",casual,1.105,123
"41.8908,-87.6186,41.8923,-87.612",casual,0.736,473
"41.8908,-87.6186,41.901,-87.6238",casual,1.928,112
"41.8908,-87.6186,41.9117,-87.6268",casual,3.521,174
"41.8908,-87.6186,41.9263,-87.6308",casual,4.776,101
